id	sent0	label
5549	9 MILLION 10 MILLION AAVAN WAITING	Positive
5550	Malayalam movies nte oru golden year akatte 2019	Positive
5551	Un like Adaichavarkk Nadu viral namaskkaram	Negative
5552	Malayala cinema ithevidekkaa..... ajjadhi item	Positive
5553	Appazhe.. inni aa KGF tone kude kayattiyal KGF 2 aayi..	unknown_state
5554	Ee teaser DON MAX aan cut ചെയ്തത് .. ഇനി വരാൻ ഇരിക്കുന്നത് LINTO KURIAN ആണ്.	unknown_state
5555	ഇപ്പം ഇതാണല്ലോ ട്രെൻഡ് സൈക്കോയെ പുഴിങ്ങി വെച്ചാൽ പടം ഹിറ്റ്‌	Negative
5556	ലാലേട്ടന്റെ  മാർഗംകളി, massss  ആണ്, ആ  പെൺപിള്ളേരെ  വരെ  കടത്തി  വെട്ടി..	Positive
5557	Usmaane....vegam vaarikettiperukkeda...theeyum pokem parapichond oru koottam varunundeda....	unknown_state
5558	OMG 10K+ dislike. Shylockil ഒരു 21K+ dislike ഇടാൻ ഇവിടെ ആരും ഇല്ലേ	unknown_state
5559	mammootty aa name mattum pothum !	not-malayalam
5560	00:20 galaxy star ഉം  power star ഉം	unknown_state
5561	ബോണി കിടുവാണെന്ന് ബോണി പറയാൻ (ഞാൻ) പറഞ്ഞു	unknown_state
5562	പാലാ ജൂബിലി 2019  കേറി കാണടാ ഉവ്വേ......	unknown_state
5563	പടം കലക്കും അത് ഉറപ്പായി trailer കണ്ട്പ്പോൾ വിജയക്കും  25 കോടി Box collection മാത്രം കിട്ടും എന്ന് ഉറപ്പുള്ളവർ Like you	Positive
5564	nenchinakathu nammude lalettan aneee	Positive
5565	Telugu mamoothy fan ikada o veskondi	not-malayalam
5566	edi 2 mookkuthi edukkanundo......angane chodikk chilpo kittum...	unknown_state
5567	നമ്മൾ നമ്മളറിയാതെ ഒരു അധോലോകം ആയി മാറിക്കഴിഞ്ഞേന്റെ ഷാജിയേട്ടാ	unknown_state
5568	Seems to be an interesting movie ikka	not-malayalam
5569	മലബാറിലെ മാപ്പിള ഭാഷ ലാലേട്ടന് നടക്കൂല. അതിന് മമ്മൂക്ക തന്നെ വേണം എന്ന് ഒരു ലാലേട്ടൻ fan...	Negative
5570	Dislike അടിച്ച് എല്ലാത്തിനെയും പിടിച്ച് ഇടുമെന്ന്...  ബോഡി പറയാൻ പറഞ്ഞു...	Negative
5571	0:53 ippozzhalle pidi kittiyathu ee cinemayude viewsinte rahasyem .  Ellaam annachimaarkum bhayankara akaamsha aanelloo .	unknown_state
5572	അറേബ്യൻ ജ്വല്ലറി കാരൻ അരികും ചുവന്ന  തൊപ്പിവച്ചിട്ടു വന്നത്. ലോൺ എടുതാരികും  മൂക്കുത്തി വാങ്ങിയത്. അറേബ്യ കാരന്റെ ഒരു അവസ്ഥ കേരളത്തിൽ.🤣	unknown_state
5573	Namichuuu Ikkaa. Engaluuu pwoliiiyaaanu . Love you ekka	Positive
5574	Suraj ettan vere level...  1:01  Soubin ikka pwolikkum 0:33	Positive
5575	Ighane poyaaal urapaayitum njan ee cherukante fans aakum	Positive
5576	നിവിൻ അച്ചായന്റെ മാസ്സ്  പെർഫോമൻസ് ഈഷ്ടപെട്ടവർ ലൈക്‌ അടി...	unknown_state
5577	Climax kunchako boban villan athu urappa	unknown_state
5578	പെണ്ണ് നയിച്ചാൽ ബോറ ..അത് എന്ത് ആയാലും	Negative
5579	Ippolum prithviraj young aayi irikkyunu wow	Positive
5580	mamuka    super    unda   will  super	not-malayalam
5581	ആരോ ഒരാൾ അല്ല എന്റെ എട്ടൻ	unknown_state
5582	Kidu song .soubin vere level ..	Positive
5583	trailer polichu release date ennaa ?	Positive
5584	Ente mwone ijjathi padam  Joju chettan mathralla ellarum kidukki but chemban chettan ente mone no reksha . Padam onnum parayanilla kolaa mass	Positive
5585	Ithu korre pullimurugan koppi adichathanalo swalpam ullupu undo  Ennalum njn Kannan pokkum Karanam ente RS 100 kedakkate padathinu	Negative
5586	Lucifer ....	Positive
5587	confident ayi dialogue adicha palarudeyum comments athinte present replies kandu  chirikan vannatha	unknown_state
5588	എനിക്ക് ഇഷ്ടമായ സെൻ തത്തമ്മ പച്ച ആക്ഷ നില	unknown_state
5589	Theatril ninnu ee paattu clear aayittu kelkaan pattaathavaru aayirikkum kooduthal  Ikka	Positive
5590	ലാലേട്ടാ ഇമോഷണൽ ആവാതെ   ഹീറോയെ മനസ്സിൽ ആവാഹിച്ചു സംസാരിക്കു.	Mixed_feelings
5591	Dileep etta mammookka fansintte ellavitha ashamsakal nerunu	Positive
5592	Enthu maittile patta ITU   kollavunna arem kittiyille .ilayarajayenganum ayirunnel kanayirunnu	Negative
5593	Ithipol matte sambavam kazinja shesham dileeep nu police	unknown_state
5594	മൂക്കുത്തി സോങ് മൂക്കും കുത്തി വീണ പോലെ തോന്നി. Music:Old wine in new bottle	Negative
5595	Ayo last aaa stund yente ponnu ikka	Positive
5596	12 Mani kazhn kaanunnvar ivde like	unknown_state
5597	മസ്ക്കുലിൻ ഫിഗർ ഉള്ള പെൺകുട്ടി ! ക്ളൈമാക്സില് ഇവൾ  മമ്മുക്ക ആണെന്ന് വരുമോ ? അതാകുമോ ട്വിസ്റ്റ്‌?	unknown_state
5598	Onnathinu pottikan padakam Alla nalla assalu bomb thanne	Negative
5599	Uff , enikk maathramano nammude plus one clssl irikkunna feel thonnyath??	Positive
5600	1:15 ee scene kanditt Lucifer movieyil lalettante karanathu adikkumbol lalettan nokkunnathayi thonniyavar ivide like	unknown_state
5601	Ithilum nallath pulimurugan trailer onnoode kanunnath aayirunnu	Negative
5602	Avade monthakku onnu koduthittu aa kannadi eduthu kanichu kodukku.appo kanum mukkuthi	unknown_state
5603	Ndhaa ipo indaaye? Ndhokeyaa kande?? Malayalam padam thanne aano idh.ejjadhi trailler	Positive
5604	എത്ര നന്നായിട് ആണ്‌ മമ്മുക്കാ ഇതിൽ ഡാൻസ്‌ ചെയ്തിട്ടുല്ലത്ത്‌ ഈ പ്രായത്തിൽ വെരെ ആരെ കൊണ്ടു പറ്റും	Positive
5605	ഇതാണ് മക്കളെ നടനം മഹാനടനം എനിക്ക് വയ്യ.......	Positive
5606	superman punch is superb	Positive
5607	1 hour 5 lakh viewrs maamaangam rocks	Positive
5608	Vera oru nadaneyum mosham parayan njanilla ennalum ijjathi items ee prayathilum nalkan ee megastarinu mathrame kazhiyukayollu	Positive
5609	കേസ് കൊടുക്കണം പിള്ളെച്ചാ... കേസ് കൊടുക്കണം. ഇന്ന് മൂക്കുത്തി പോയി, നാളെ അരഞ്ഞാണം വല്ലതും പോയാലോ	unknown_state
5610	ഒരു  മദ്യകുപ്പിയിൽ  എഴുതിയിരിക്കുന്നു  ആരോഗ്യത്തിന് ഹാനികരം   ഒരു സിഗരറ്റ് പാക്കറ്റിൽ എഴുതിയിരിക്കുന്നു  Tobacco causes Cancer  പക്ഷെ ഇതൊന്നും എഴുതാത്ത ഒരു  സാധനമാണ്  ഭക്ഷണം  ആ ഭക്ഷണമാണ്  ശരിക്കും ശരീരത്തിന്  ഹാനികരം  അതാണ്‌ പട്ടാഭിരാമൻ  പറയുന്നതും  കാണൂ മനസിലാക്കു  കേരളത്തിൽ  ആശുപത്രികൾ കൂടാനും  മെഡിക്കൽ സ്റ്റോറുകൾ  കൂടാനും  കാരണം ആര്?  ഉത്തരം അറിയണമെങ്കിൽ  പട്ടാഭിരാമൻ കണ്ടാൽ മതി   സമൂഹത്തിന് ഒരു നല്ല  സന്ദേശം നൽകുന്ന  സിനിമ  അതാണ്‌  പട്ടാഭിരാമൻ  സുരേഷ് പോപ്പുലർ	Positive
5611	laletta movie kku super response aanalloo	Positive
5612	ഞങ്ങൾ പഠിക്കുമ്പോഴും ഉണ്ടാരുന്നു ഇതേപോലെ ഒരു ചൊറിയാൻ സർ	unknown_state
5613	Drums Reverse . ? 1:08  - --Superb !	not-malayalam
5614	M. Jayachandrn and sreya goshal  എന്ന് കണ്ടപോയെ തോന്നി പാട്ടിന്റെ സ്വഭാവം എന്താണെന്നു  അതങ്ങനെ തന്നെ  ഹാ ഈ സിനിമക്ക് ഇവർ തന്നെയാ ചേരു  ഷാൻ റഹ്മാൻ  gopi ചേട്ടൻ  ശരിയാവില്ല	unknown_state
5615	Ithihasa nadanmaril ninnu ithu polathe movies aanu pratheekshikunnathu	Positive
5616	2019ലെ പുതിയ magics and Tech വീഡിയോകൾക്ക് ആയി എന്റെ ചാനൽ visit ചെയ്യു..	unknown_state
5617	ഗുഹൻ ഫാൻസ്‌ ഡിസ്‌ലൈക്ക് അടിച്ചു തകർക്കുവാണല്ലോ,	Negative
5618	Ella Lalettan chunkum oru like adikoo ivide.....pinne ee chanelum onnu subscribe cheyoo	unknown_state
5619	ഇത്രയും നല്ല ട്രൈലെർ ആയിട്ട് വ്യൂസ് കുറവ് ആണല്ലോ മച്ചാന്മാരെ..🤔	unknown_state
5620	ഒരു കട്ട മമ്മൂക്ക ഫാൻ ആയ ഞാൻ മുക്കുത്തി എന്ന ഗാനം നിങ്ങൾ ഏവരെയും പോലെ തന്നെ കാത്തിരുന്ന കണ്ട ഗാനമാണ്. പിന്നാലെ കുറെ ഫാൻസുകാരുടെ കരച്ചിലും കേട്ടു .മുക്കുത്തി അവിടെ കണ്ടില്ല . ഇവിടെ എടുത്തു ,എല്ലാം പറഞ്ഞുകൊണ്ട് .. ഒരു ലോഡ് പുച്ഛം വാരിവിതറി കൊണ്ട് ഒരു കാര്യം നിങ്ങളുടെ ഓർമ്മയിലേക്ക് ധരിപ്പിക്കാൻ ആയിട്ട് ആഗ്രഹിക്കുകയാണ്. കാരണം നിങ്ങൾ എത്ര പേർ മൂക്കുത്തി എന്ന കലാരൂപത്തെക്കുറിച്ച് കേട്ടിരിക്കും എന്നറിയില്ല .അങ്ങനെ ഒരു കലാരൂപം ഇവിടെ ഉണ്ടായിരുന്നു .കുറച്ചുകൂടി എളുപ്പത്തിൽ പറഞ്ഞാൽ ആ കലാരൂപത്തിന് ഒരു മോഡിഫൈഡ് രൂപമാണ് ഇന്നത്തെ മോഹനിയാട്ടം. ചുരുക്കി പറഞ്ഞാൽ അന്നത്തെ കാലത്തെ ബാർ ഡാൻസ് തുല്യമായ ഒരു കലാരൂപമായിരുന്നു മൂക്കുത്തി. നൃത്തം ചെയ്യുന്ന നിർത്തകി എൻറെ മുക്കുത്തി പോയെന്നു പറയുന്നു. അവിടെ മദ്യപിച്ചു കൊണ്ടിരിക്കുന്നവരുടെ അടുത്ത് പോയി നോക്കുന്നു .അവരുടെ ഡ്രസ്സുകൾ മാറ്റി നോക്കുന്നു .ഇതായിരുന്നു അന്നത്തെ കലാരൂപത്തിൻറെ ഹൈലൈറ്റ്. അന്യം നിന്നു പോകുമായിരുന്ന ആ മൂക്കുത്തി എന്ന കലാരൂപത്തെ വള്ളത്തോൾ തിരിച്ചു പിടിക്കാൻ ശ്രമിച്ചു . അതിൻറെ ഭാഗമായാണ് മോഹിനിയാട്ടം രൂപംകൊള്ളുന്നത് പോലും. ഒന്ന് ആലോചിക്കേണ്ടത് ഈ സിനിമയുടെ ഭാഗമായി വരുന്ന ഒരു പാട്ടിൽ എത്രത്തോളം പഠനം നടത്തിയതിനു ശേഷമായിരിക്കും ആ മൂക്കുത്തി എന്ന കലാരൂപത്തെ തിരിച്ചു കൊണ്ടുവരാൻ ശ്രമിച്ചുരിക്കുക. എന്തായാലും ഒരുപാട് അഭിമാനം തോന്നുന്നു .ഒരുപാട് പ്രതീക്ഷയും.. ഇനിയും മൂക്കുത്തി പോയെ, മൂക്കുത്തി കണ്ടില്ല എന്ന് പറയുന്നവരോട് ഒന്നേ പറയാനുള്ളൂ. ചെമ്മീൻ ചാടിയാൽ മുട്ടോളം പിന്നേം ചാടിയാൽ ചട്ടിയോളം  ഒറ്റ കാര്യം പറയാം.   മാമാങ്കത്തിലൂടെ ഇൻഡസ്ട്രി ഹിറ്റ്‌ അല്ല അവന്റെ അപ്പന്റെ ഹിറ്റ്‌ നമ്മൾ അടിച്ചിരിക്കും	Positive
5621	Trailer കണ്ടിട്ട് ഒരു ലിജോ പല്ലിശേരി മൂവി കണ്ട പ്രതീതി. തകർത്തു.	Positive
5622	18K Liksum 15K Viewsum Ejjaathi	unknown_state
5623	നടൻ മധു പറയുന്നത് പോലെ ഉണ്ടല്ലോ. സംഭാഷണം പോരാ...	Negative
5624	ഇവൾ മൂക്കിന്റെ രണ്ടു സൈഡിലും മൂക്കുത്തി ഇടുന്ന സൈസ് ആണെന്ന് തോന്നുന്നു	unknown_state
5625	Cinema kandu nice പൊളിച്ചു repeat ചെയ്ത കാണുകയാണ് movie പക്ഷെ trailerill ഉള്ള പല scensum സിനിമയിൽ ഇല്ല എന്താ അത്??	Positive
5626	Ikka ethu lookil vannalum polichadukkum	Positive
5627	സിനിമ കണ്ടു ഒരുപാട് ഇഷ്ട്ടായി. മനസിന്റെ നീറ്റൽ ഇപ്പോഴും നില്കുന്നു	Positive
5628	lalettan screen presence 100 percent in trailer. Lalettan politics and actionil thakarkkum ennullavar like adi........	Positive
5629	Mamookka was big salute for Lakshdweep	not-malayalam
5630	Pandaaram nirthaan pattanillallo. Ithippo oru 60 times kazhinju. Cant stop listening...	Positive
5631	Ravi sir : oru yorker vannal nee enna cheyum Reply : keri irikkan parayum🤣 ...... Padam kandu super aayittunde...  Ella charactersum chrippikkunna simple nice movie....	Positive
5632	എടുത്തത് ആരായാലും ദയവു ചെയ്ത് തിരിച്ചു കൊടുക്ക്.	unknown_state
5633	Waiting.....  for mamankam എത്രപേർ	unknown_state
5634	ശരിക്കും മൂക്കുത്തി ആണോ ഡ്രെസ് ആണോ കാണാതായത്...	unknown_state
5635	Ente ponnu mammookka  ellarum level .....Ultra romanjification	Positive
5636	Itna mast trailer h.... Hindi m release karo isko	not-malayalam
5637	charithram onnum parayanda mammunniyalle Ella malayalikalkkumariyam kuninjoru paniyum cheyyathillennu	Negative
5638	Verthe ale ikka cheythirunthu...ethu kanumbol mansil akum..pinne ikka filim irkumbol mathram kuthara theatre kitum enu anu....	unknown_state
5639	എന്റെ ദൈവമേ ... ഊള കമന്റുകൾ വായിച്ചു തൊലി ഉലിയുന്നു	Negative
5640	നമ്മുടെ തിരുവനന്തപുരത്തെ രണ്ട് പൊന്നു മുത്തുകൾ അടിപൊളി	Positive
5641	Trailer nannayutu untu valthukkal mokanlol Sir and fans	Positive
5642	Anthena maire nigal unlike adikunne nalla trailer alle	Negative
5643	Pakka mass..... Ikkka heavy    Bgm pwolich	Positive
5644	മൂക്കുത്തി എന്നത് ഒരുപാട് തവണ ആവർത്തിക്കുന്നത് അരോചകമായി തോന്നുന്നു	Negative
5645	Enthylm 300 koli thallum muzhuvn fans.......	Negative
5646	വളരെ മോശം ട്രൈലെർ.. പോരാ കുറച്ചു കൂടി പ്രതീക്ഷിച്ചിരുന്നു..	Negative
5647	പാട്ട്  പൊളിച്ചു  ഇട്ടിച്ച ൻ മാസ് ഓണം ഏട്ട െനെ > പ്പം	Positive
5648	8 mani onnu vagam ayal matiyarunnu. 🤩 #megastar	Positive
5649	Rajeev Ravi & Geethu Mohandas	unknown_state
5650	veendum youtube hang aaki kond mamangam	Positive
5651	Like ethrayayee enu nokan  vanavark special like adikanula stalam...	unknown_state
5652	സിനിമ മൂക്കുത്തി പോലെ ആരും കാണാതെ പോകുമോ	unknown_state
5653	Troll kadu mosham ennu vicharichu pakshe e prayathilum pulli kazhiyunnathra nannayi cheythu	Positive
5654	ഇതെങ്ങനെ views കുറഞ്ഞത് ഇന്നലെ 2M കൂടുതൽ ഉണ്ടായിരുന്നു	unknown_state
5655	ഇത് ശരിക്കും  മമ്മൂക്കക ചേരുന്നത്   ലാലേട്ടൻ ഇത്  ശരിയാവുന്നില്ല	Negative
5656	Trailer nalla iruku ...kandipa Padam pakanum	not-malayalam
5657	ആരോ ഒരാൾ അല്ല എന്റെ ഏട്ടൻ മൈ ബിഗ്‌ ബ്രദർ	unknown_state
5658	Expecting a കിടുക്കാച്ചി ത്രില്ലെർ from midhun	Positive
5659	സിദ്ദിഖിന് സാധാരണക്കാരുമായി relate ചെയ്യാൻ പറ്റുന്ന സിനിമ എടുക്കാൻ പറ്റാതായിട്ട് കുറേയായി. കുടുംബം- തറവാട്- അപ്പർ ക്ലാസ്സ്- അടി- ഇടി ഫിലിംമേക്കിങ്ങ് ഒക്കെ എല്ലാവരും ഉപേക്ഷിച്ചു തുടങ്ങി. ഒട്ടും പ്രതീക്ഷയില്ലാത്ത ചിത്രം.	Negative
5660	ആദ്യം വല്ലതും എടുത്ത് നാണം മറക്കാൻ നോക്ക് എന്നിട്ട് മൂക്കുത്തി തിരയ്	Negative
5661	Keri vada makkale edh double strongum tripple strongm alla adhukum mele	Positive
5662	release nalle....kanaan povvunnavar ...plzz like...palettan katta fans	unknown_state
5663	Lalettan pola dialogues parayan arakum kazhiyal agakathum ella	unknown_state
5664	🤭🤣🤣  ഇക്കാച്ചിയുടെ DANCE  🤣🤣🤣	Negative
5665	Sett dance.... Kandoda....  Ithanu mammokka...	Positive
5666	വർക്കി എനിക്കറിയാം തൃശ്ശൂർ കിഴക്കുംപുറത്തു ഇങ്ങനൊരു വർക്കിയുണ്ട്	unknown_state
5667	It is just like hindi movie FAN	not-malayalam
5668	Padam hit... Song feel vere level	Positive
5669	ഇവൻ മോഹൻലാലിനെ ശരിക്കും അനുകരിക്കാൻ ശ്രമിക്കുന്നുണ്ട്.. അത് വെറുപ്പീര് ആകുന്നുമുണ്ട്  ഇല്ലാത്ത ഒരു ചരിവ് ഒക്കെ തോളിനു കൊടുത്ത്, ആവശ്യമില്ലാത്ത മോഹൻലാൽ expressionsum കുത്തി കേറ്റി സ്വന്തം Talent നഷ്ടപെടുത്തുകയാണ് ഈ അടുത്തിടയായിട്ട്..	Negative
5670	Mamangam Trailer >>>> Hit A like	not-malayalam
5671	മലയാള സിനിമയുടെ ഭാവി നിവിൻ പോളി എന്ന നടന്റ കൈയ്യിൽ സുരക്ഷിതം	Positive
5672	Subscribe vendavar vaa Vamban  offer 1 SUBSCRIBE 1 Like	unknown_state
5673	നിനക്ക് ഇനി മലയാളം ഇന്ഡസ്ട്റിയില് കിടന്ന് പൊളക്കാന് പറ്റുമെന്ന് തോന്നുന്നുണ്ടോ	unknown_state
5674	192k views and 192k likes	not-malayalam
5675	Padam kandu...Average movie...Pokkiri raja far better than Madhura raja....Mammukka and salim kumar kidukki	Mixed_feelings
5676	Mohanlal Tamilnadu fans  like here	not-malayalam
5677	മമ്മൂക്ക ചങ്ക്സ് like അടിച്ചു പോളിക്കു	Positive
5678	എന്ത് മൈര് ആണെങ്കിലും ഞാനും എന്റെയും ഭാര്യയുടെയും കുടുംബത്തിലുള്ളവരും എന്റെ 27 ഇൽ പരം ഫ്രണ്ട്സും അവരുടെ കുടുംബങ്ങളും ഈ സിനിമ കാണുന്നില്ല എന്ന് തീരുമാനിച്ച വിവരം വിനയപൂർവം അറിയിക്കുന്നു... കാരണം ബ്ലോജോബി ജോർജ് എന്ന ആ തരം താണ വ്യക്തി ആണ് ഈ സിനിമ നിർമിച്ചിരിക്കുന്നത് എന്നത് കൊണ്ട് മാത്രം... ഈ കമെന്റ് delete ചെയ്താൽ എനിക്ക് മലരാണ് എന്നും അറിയിച്ചുകൊള്ളുന്നു... മമ്മൂക്ക ക്ഷമിക്കണം..	Negative
5679	Kidukachi trailer... Bgm oru rekshayum ella.....	Positive
5680	Ethinakath ondo nammade dady girija appo kanjavu kesu kaanum	unknown_state
5681	ഈ ഡാൻസ് കാബറ ഡാൻസ് പോലെ ഉണ്ടല്ലോ.. വയർ ഇട്ടു ഇളക്കൽ ആണല്ലോ മൊത്തം	Negative
5682	Royal Mech.... yenda college il mechanical la penn undu	unknown_state
5683	Ithinokke dislike adikkunnavanmarekkal valya durandangal vere indavilla....🤦‍  .  Do Respect the Hardwork... 🤝	Positive
5684	5 minute kond youtube hang avum	Positive
5685	Direction Rajuettan aanel Standard inte glucose level high aa  Speechless	Positive
5686	Olaaaa   oooola  oooole	Negative
5687	ഇതേത് ഭാഷ. ട്രയ്ലർ കാണാൻ തോന്നിയത് നന്നായി	Positive
5688	ചെറിയ ഒരു വർക്ക്‌ ആണ്. Suprt pls	unknown_state
5689	Ente laletta onnum parayanilla ningal mass anu..  ningale pole ningale ullu	Positive
5690	Aarum kaana hridhyatharamathil uriki naamathil.......my fav,,	Positive
5691	Katta waiting jayetta oru onnu onnara trissur poorathinu...... Mass alla marana mass anne .... Jayettan polich adukki.. Padam	Positive
5692	Kuch Samaj Mai nhi Aya but Maja Aya	not-malayalam
5693	ഏതാ അവനാ  teaser കാണുന്നത് ന്നു  മുൻപ് ഡിസ്‌ലൈക്  അടിച്ച  വാൻ  #$%&$#@@$%	Negative
5694	സത്യം പറഞ്ഞ ഊമ്പിയ ട്രൈലെർ  യോജിക്കുന്നവർ മാത്രം ലൈക്‌ ബട്ടൺ ഞെക്കിയാൽ മതി	unknown_state
5695	ശ്രേയയുടെ മധുര ശബ്ദം കൊണ്ട് ജീവൻ വച്ച മറ്റൊരു മനോഹര ഗാനം. വരികൾ കൊണ്ട് മാത്രം ഒരു പാട്ടിനെ judge ചെയ്യരുത്..	Positive
5696	Nte Ponne... Ikka Pwoli  aanu koode dhasettante paatum...superb aayi	Positive
5697	മൂക്കുത്തി പൊളിച്ചു ....അടിപൊളി പൊളി സോങ് ........നല്ല കളർ ഫുൾ ആയല്ലോ ...ഒരു വട്ടം കുടി .കണ്ട് വരാം .....	Positive
5698	ഈ സോങ് തിയേറ്ററിൽ ഉണ്ടാക്കിയ ഓളം അത്ര ചെറുതൊന്നുമല്ല....  Ikkaa....	Positive
5699	19 minutes ..and 32k likes  uff mammookka	not-malayalam
5700	ആ ക്രയിനിയിൽ തൂക്കിയിറക്കിയ മൊതല് ഈ പാട്ടിൽ ഇല്ലല്ലോ? 🤭	unknown_state
5701	Yyiooooooo...... No words   666   loading 🤺	unknown_state
5702	Abrid shine.   Vera level	Positive
5703	ഉപകാരപ്രദം.. സ്റ്റൂളും ചിരവയും ഒരുമിച്ച്.. ഒരു  അത്ഭുത ചിരവ.. കണ്ടു നോക്കൂ	unknown_state
5704	350 k like um.. 5 M views inum vendi kaathirikunnavar like adik..	unknown_state
5705	ഇത്തരം ടൈപ്പ് ഊള മാസ്സ് സിനിമകൾ ഇനി എത്ര കാലം ഓടുമല്ലേ	Negative
5706	എവിടെയൊക്കെയോ അല്പം മധുര രാജ അല്പം പുത്തൻപണം അല്പം ചട്ടമ്പിനാട്  ഫീൽ ചെയ്യുന്നു.  അമിത പ്രതീക്ഷ വെക്കാതിരിക്കുന്നത് തന്നെയായിരിക്കും നല്ലത്.	Mixed_feelings
5707	ഈ Trailer ഒന്നിൽ കൂടുതൽ പ്രാവിശ്യം കണ്ടവർ Like അടിക്.	unknown_state
5708	Amala paul  nte Aadai cinemayum aayi saamyam thoniyavar undo?	Mixed_feelings
5709	Ith polathe oombiya trailer njan kandittilla patti okki surajinte appante soubinte pooru	Negative
5710	0:45 ഈ ചിരിക്കു പിന്നിലെ ചിരി ഒന്നു കണ്ടാൽ ചിരിയടകാതിരിക്കാൻ പറ്റില്ല  കണ്ട് നോക്ക്	unknown_state
5711	entammachiii... njaan Mammoottykkaane kaanaan vendi maathramaanu ee trailer kandathu...	unknown_state
5712	192k views  189k likes  18k dislikes  Me: what you mean youtube?	not-malayalam
5713	Ee song kettal special  feel	Positive
5714	ഇത്രയും ധൈര്യം ഞാനെന്‍റെ ചാള്‍സ്ശോഭരാജില്‍ മാത്രമേ കണ്ടിട്ടുള്ളൂ.. നിനക്ക് എവിടെന്ന്  കിട്ടി കുട്ടി ഇത്രയ്ക്കും ധൈര്യം	unknown_state
5715	Dislike adichavark trailer ishtapedanjitto അതോ lalettaneyo. എതായാലും ninnodokke പുച്ഛം മാത്രം. Its ettans swag	Negative
5716	Dis like adichavar aaro avar... onnum parayunnilla	Mixed_feelings
5717	Pwoli.. Keralathil kittiyillel telugil um hope ind	Positive
5718	മമ്മൂട്ടി ഇഷ്ട്ടം  മമ്മൂട്ടി ഇന്ത്യൻ ഫാൻസ് ലൈക് അടിക്ക്	unknown_state
5719	833 dislike ഉണ്ട് ഇന്നലെ ഇന്ന് നേക്കുമ്പോൾ 233 അത് എങ്ങനെ	unknown_state
5720	Janapriyanayakan again coming with variety role, Katta waiting	Positive
5721	പൊളിച്ചു ഈ സിനിമയിൽ പാതിയും രാത്രിയിൽ ഉള്ള സീൻ ആണെന്ന് തോന്നുന്നു	Positive
5722	മമ്മൂക്കയുടെ ഈ ലൂക്ക് കണ്ടപ്പോൾ 2005ൽ  പുറത്തിറങ്ങിയ തസ്കരൻ വീരനിലെ ലൂക്ക് ഓർമ വന്നത് എനിക്ക് മാത്രമാണോ....	unknown_state
5723	എം ജയചന്ദ്രൻ  ഒന്നു കാണാൻ പറ്റുമോ	unknown_state
5724	Enttammooo poliii polii trailer  ee X'mas pullu giri n Team kondu povum  No doubt jayeattan Mass 🤘	Positive
5725	Oru nanmma niranja film..kurachu lag und ..	Mixed_feelings
5726	Ithil aaraa nayakan aara villian enonum manasilaavathath enik maatram anno?	unknown_state
5727	sadha pichaththi mudhal rocket launcher vere und..  rajuvettan enna summava	Positive
5728	Mohanlal fans like here. Trailer maran mass. Uff kidu	Positive
5729	Lalaten fan onnu ange like poratta	unknown_state
5730	Sunny chechine kandavar like adich polikk	unknown_state
5731	2019 സെപ്തംബര്   ഇൽ ആരെങ്കിലും ഉണ്ടോ?????	unknown_state
5732	ഡയലോഗ് ഡെലിവറിയിൽ ലാലേട്ടൻ നന്നായി സംസാരിച്ചു തുടങ്ങിയത് ഇവിടം മുതലാണ്.അതോ പൊറന്ന നാടിന്റെ മൊസറ് കാക്കണ. എന്നാ അതിനുള്ള മനസ്സുണ്ടെങ്കി കയ്യിൽ കിട്ടണ ആയുധമെടുത്ത് മാറ് നിവർത്തി വെച്ച് പോരിന് വിളിക്ക് .ഇങ്ങളെ അലർച്ച കേട്ട് സൈതാന്മാര് പറങ്കികള് വെറക്കണം. ഇബ്‌ലീസുകൾടെ ചീറുന്ന വെടിയുണ്ടകൾക്ക് ഉന്നം തെറ്റും. ഓര്ടെ പടകപ്പലുകൾ കര കാണാതെ കത്തിക്കരിയും . ദിശ അറിയാതെ പായും പറങ്കിപ്പട്ടാളം.  ഇത് മാത്രമാണ് ഏട്ടൻ നന്നായി പറഞ്ഞത്.	Mixed_feelings
5733	Megastar Mammookka Mamangam M padmakumar Malayalam Moovi	not-malayalam
5734	flop kaluda rajakumaran ee padam hit agum pisharadikku	Mixed_feelings
5735	Freezernte  ullil trap avunnu climax raksha pedunnu atra thanne film	unknown_state
5736	ടിക്ടോക് ഇൽ  ഉള്ള ഊള പാട്ട് വച്ചു മാത്രല്ലേ നിങ്ങൾ ഡാൻസ് കണ്ടിട്ടുള്ളു.. അയനല്ലേ എല്ലാരും കളിയാക്കിയേ.. ഇതൊന്ന് കാണു.. ഇതിനെ കളിയാക്കുന്നവന്മാരോട് വേറൊന്നും പറയാനില്ല..	Positive
5737	ദാസേട്ടന്റെ കാത്തിരുന്ന പാട്ട് ...... മമ്മുക്ക പൊളിച്ചു ..... കളിയാക്കുന്നവർക്ക് ചരിത്രമെന്തെന്നോ സിനിമ എങ്ങനെയൊക്കെ ആകണമെന്നോ അറിവില്ല അവർ വാ കഴയ്ക്കുന്നിടം വരെ കളിയാക്കട്ടെ .......	Positive
5738	ഇങ്ങേരുടെ ഡാൻസ് കണ്ടിരിക്കാൻ തന്നെ ഒരു രസാണ്.. കണ്ണ് മുഴുവൻ മൂപ്പരിലായിരിക്കും.. വേറെ ആരേം ശ്രദ്ധിക്കൂല്ല..	Positive
