category	text
Positive	hoo kolamass item thannee...bgm oru rakshayumillaa
Positive	ഇജ്ജാതി ഹെവി സോങ്🤞 മമ്മൂസെ ഇടിക്കട്ട വെയ്റ്റിങ് ഫോർ മാമാങ്കം
Positive	വീണ്ടും വീണ്ടും കേൾക്കുമ്പോൾ ഇഷ്ട്ടം കൂടി വരുന്ന ഒരു ജയചന്ദ്രൻ മാജിക്... മൂക്കുത്തി
not-malayalam	We are Telugu people, Malayalam language is not u derstanding, but we like  yesudas sir voice
Positive	Oru rekshayum illa makkale poliiiii action scenes
Positive	Nirasha varuthathe ... Nalloru movie pratheekshikunnu Kure nalukalkku shesham Oru moviek  pokanam. Ennu moham
Positive	പൊന്നു ലാലേട്ടാ ഇങ്ങള് ഇങ്ങനെ ഡാൻസ് കളിച്ച മറ്റുള്ളോർക്കു ഒരു മാർഗ്ഗവും കാണില്ല ...  ഇട്ടിച്ചായനെ എന്തോ ഇഷ്ടമാണ് ആളുകൾക്ക്
unknown_state	suspense vende enallale Oru gumm ullu enna aa dilaog um aayi Oru sadrishyam
unknown_state	Lattente dilog eshattam ullavar like here
Positive	Ikaa!!  Velya promotiononum nilkathey abhinayikunna padankal hitakunna maanthrikan !!
Positive	ഇൗ പിള്ളേരൊക്കെ പറയുവല്ലോ എന്തുവാ കൊലമാസ്സ്‌ അത് തന്നെ
unknown_state	Enne pole 50praavisham kandavurundagill adi like
Negative	ഹോ ..കോണ്ഗ്രെറ്റ് സ്ളാബ്  ഒക്കെഇടിച്ചുപോളിച്ചാണല്ലോ വരവ്..ഭയങ്കരം തന്നെ ..
Positive	ജീവിതത്തിൽ ആദ്യയിട്ട ഒരു ട്രയ്ലർ കണ്ട് ഇത്രയും ചിരിക്കുന്നെ വിനീതേട്ടൻ
Mixed_feelings	ഇതിപ്പോ പൈറേറ്‌സ് ഓഫ് ദി കരീബിയൻ സിനിമയിലെ ഷിപ് fight സീൻ ആണല്ലോ.
unknown_state	ഈ ഓണത്തിന് എങ്ങനെ മുണ്ട് എളുപ്പത്തിൽ ഉടുക്കാം  ഈ വീഡിയോ ഒന്നു കണ്ടു നോക്കു
unknown_state	Pettayile dialogue aanenn thonnaathavar like adikk mavane kollaame vidamaatte
not-malayalam	Heyyy Super pa....  Meratuthu
Negative	Dear #mammukka തങ്ങളുടെ മൗനം പോലും തങ്ങളെയൊരു  വർഗ്ഗീയവാതിയാക്കും.. . മറ്റുള്ളവർക്ക് എന്ത് പറ്റിയാലും വാ മൂടി കെട്ടി മിണ്ടാതിരുന്നവരോട്‌ നാളെ നിങ്ങൾക്കും വരും ഒരു ദിവസം അപ്പോൾ മാത്രമേ ഇതെല്ലാം നിങ്ങൾക്ക് മനസ്സിലാവൂ... മഹാത്മാക്കൾ ചോര നൽകി നേടിയ ഈ മണ്ണിന് മുകളിൽ നെഞ്ച് വിരിച്ചു നിൽക്കുമ്പോൾ ഓർക്കണം നമ്മുടെ സഹോദരങ്ങളും സന്തോഷത്തിൽ ആണോയെന്ന്... #mammukka പ്രതികരിക്കുക,  #CAA2019 #CAAProtest
unknown_state	ഇന്ത്യയിൽ മോദിയുടെയും അമിത് ഷാ യുടെയും അഴിഞ്ഞാട്ടം... കേരളത്തിൽ കൊള്ളപ്പലിശക്കാരൻ അഴിഞ്ഞാട്ടം തുടങ്ങാൻ പോകുന്നതേയുള്ളൂ
Mixed_feelings	Last BGM polichuuuuu. പക്ഷേ ഈ വിഷു ikkade കൈയില്‍ ആണ്‌. Ikkadaaaaaaaa
unknown_state	ഈ കഥ ഞാൻ പറഞ്ഞു തരട്ടെ
unknown_state	Rajuettante katta fans like and surajettante chunk fans please like it.
unknown_state	അഭ്യർത്ഥന --------- മാമാങ്കം പലകുറി കൊണ്ടാടും  എന്ന ഗാനം ടൈറ്റിൽ സോങ്ങ് ആയി ഉൾപ്പെടുത്താമോ....  Album :vasantha geethangal  Singer: K J YESUDAS
unknown_state	Shylock FDFS കാണാൻ തീരുമാനിച്ചവർ ഇവിടെ
Positive	Yesudas annum innum ennumn vere level anu 🤗🤗
unknown_state	Yentha.. samayam ngatt ponillalloo... .. laalettaa..
Negative	ഇതിപ്പോൾ സിനിമ മൊത്തം ഉണ്ടല്ലോ സഹോ ??
unknown_state	Strike cheyyunna mukham serikkum manju chechiyalle
Positive	ജെല്ലികെട്ടിന് ശേഷം ഇതാ അടുത്ത റിയലിസ്റ്റിക് മൂവി കേരളം ആക്ഷൻ ഹെറോയ്സ്റ്റിക് movie കളെകൾ ഇപ്പോൾ റിയലിസ്റ്റിക് moviesനാണ് പ്രാധാന്യം കൊടുക്കുന്നത് എന്നതിന് തെളിവാണ് ഇവിടെ കാണുന്ന comments ഇതാണ് മലയാള സിനിമയെ മറ്റുള്ള സിനിമകളിൽ നിന്നു വെത്യസ്തമാക്കുന്നത്
Positive	Kiduveeee....kidilosky. .onnum parayanilla...adipwoli Hollywood touch...bgm ente ponnoooo...ikka fans vann pwolikkada
Positive	Malayalam cinema technical aayi orupaad uyarattee. Valiya budget quality films iniyum ithe pole undavatte.
Positive	Trailer kandappo oru pratheeksha und
Positive	Ethra thavana kandennu enk polum ariyilllaaaa
Positive	പടം എന്തായാലും കിടക്കും കാരണം മമ്മൂക്ക ഒഴിവാക്കിയ പടമാണെന്ന് കേട്ടു
unknown_state	0:49 ആ പറഞ്ഞത് മമ്മൂക്കയുടെ റിയൽ ലൈഫിന് പറ്റിയ ഡയലോഗ്..
Positive	SHANE NTEഫ്രണ്ട് മച്ചാൻ വേറെ ലെവൽ
Negative	ഇംഗ്ലീഷ് സിനിമയിൽ നിന്ന് അടിച്ചു മാറ്റിയ കുറേ സീൻ
unknown_state	മോഹൻലാൽ fans നമ്മുടെ ഇക്കാക്ക് ഒരു like അടിക്കു
unknown_state	Katta Dileep Ettan Fans um Ee Movie vijayikyum ennu ullavar Adi like
Positive	Mamooka Tolpikiyan ara ullade e Kerala cinemayil avan ippoyum appoyum super hero alle edum tagerkum
Mixed_feelings	Kannondu chollanu mindandu mindanu ... Aaaa Oru feel thanne thonnanu
unknown_state	Comments vaaychu chirichu chirichu manukappiya njan
Negative	Pwlikkum ..w cc fans karu vannu ippo degradeing tudangum..al feminist vanngal
Negative	ആ ഗ്ലാമറും എക്സ്പ്ലോസിവ്‌ അടിയും അത്യുഗ്രൻ വൊയ്സ്‌ മോഡുലേഷനും കണ്ട് അന്തം വിട്ടു സ്വന്തം ഹ്‌Iറോയുടെ കോലം മനസ്സിൽ അറിയാതെ വന്നു പോയവരായിരിക്കും കുരു പൊട്ടി ഡിസ്ലൈക്‌ അടിക്കുന്നതു.
Negative	Nattalillatha lalappan , NRC CAA thanne badhikunna karyamallothond athinethire prathikarikunila , nanamille fanolikale ivanteyoke  __ nakki nadakkan
Mixed_feelings	bgm korachoode nannaakkayirunnu..fan made bgm poley.....
Positive	ബോസ്‌ഓഫീസിൽ ഇനി അസുരന്റെ പൂണ്ടു വിളയാട്ടം കാണാം ഇത് അജയ് വാസുദേവിന്റെ ഏറ്റവും ബെസ്റ്റും ഏറ്റവും കലക്ഷനും കിട്ടുന്ന മൂവി ആയിരിക്കും എന്ന് ഉറപ്പുള്ളവർക് LIKE  അടിക്കാനുള്ള COMNT
Negative	Ayyeee Lucifer Oru political movie athine copy adichu madura raja Ee cinema director COPY SUNDAR  aano🤭
unknown_state	Luv u laletta ....katta fans undo..prithviraj fans hit like
Positive	Ithu kidukkum
Mixed_feelings	ന്തോക്കെ സംഭവിക്കാൻ പോകുന്നു നല്ലതിനാണോ എന്ന് കണ്ടറിയണം
Positive	padam Vera level.soubin true expressions porath kondvannu.oru sadarana kudumbathinte kalahavum inakkavum ellam sookshmamayi kadha aakki maatiyirikkunnathannu film.fahad #twister of the story.oru raksha illa #soubin Ikka.totally Oru raksha illa film.ellaarm theatre il poyi thanna kaananam.
Positive	ഇത് പോലുള്ള മാസ്സ്  &സ്റ്റൈലിഷ് വേഷമാണ് മമ്മൂട്ടിക്ക് കൂടുതൽ ചേർച്ച
not-malayalam	This is gonna be an epic Mammookka
unknown_state	മൂക്കുത്തി കണ്ടു പിടിക്കാൻ വരുന്ന CBI  ഓഫീസർ ആണ് മമ്മുക്ക.....  വിഷമിക്കണ്ട കണ്ട് പിടിക്കാൻ നമുക്ക് ഒരു ഡമ്മി ഇടാം.......
not-malayalam	zayed masood aka prithvi @1.01 <3
Positive	ഡീഗ്രേഡിങ്ങ് ഉണ്ടെന്നു നിർമാതാവ് പറഞ്ഞപ്പോൾ തള്ളാണെന്നു കരുതി.... എന്നാൽ ഈ പാട്ടിന്റെ എഡിറ്റ്‌ ചെയ്തു പ്രചരിപ്പിക്കുന്ന ഭാഗവും ഇതും കണ്ടപ്പോൾ അങ്ങേരു പറഞ്ഞത് ശരിയാണെന്നു തോന്നുന്നു... സെക്കന്റ്‌ ഷോ ബുക്ക്‌ ചെയ്തു
Positive	1:03 ഉണ്ട സിനിമയിലെ ഉണ്ണി ആയി അഭിനയിച്ച അഭിറാം ചേട്ടൻ അല്ലേ, . പുള്ളി  പോലീസ് ലുക്കിൽ പൊളിയാണ്. ഈ സിനിമയിലും ബാക്ക്ഗ്രൗണ്ടിൽ ഏകദേശം ഉണ്ട സിനിമയിലെ ആൾക്കാർ തന്നെ ആണല്ലോ, ഷൈജു ഖാലിദ് ന്റെ ക്യാമറ അല്ലേ അപ്പോൾ പിന്നെ പടം പൊളിക്കും
Positive	bgm kollam greater father ila villianila poola
Positive	പതിനഞ്ചാമത്തെ തവണയാണ് ഈ പാട്ട് റിപ്പീറ്റ് അടിച്ചു കാണുന്നത് ഇട്ടിച്ചൻ മാസ്സാണ് മനസ്സും ആണ്
Positive	Troll ഉണ്ടാക്കിയവർ  2019 january തൊട്ടു december വരെ റീലിസ് ആയ 12 pattukal കണ്ടിട്ട്,  ഈ പാട്ട് കണ്ട് നോക്കണം. അപ്പൊ അറിയാം വ്യത്യാസം !!
Mixed_feelings	Trailer പോരാ ..പിള്ളേര് short filminte trailer ഇതിലും കിടു ആക്കും..editing,bgm,font ആണ് പ്രശ്നം.. Best wishes Big Brother..
Positive	ധര്മജന്റെ ആ ഡയലോഗ് (അച്ചന്മാർക്ക് എനർജി കിട്ടിയാൽ കുഴപ്പമാ )തീയേറ്ററിൽ ഉണ്ടാക്കാൻ പോകുന്ന ഓളം ഊഹിക്കാൻ കഴിയുന്നില്ല
Positive	Ithu vere level aane makkale.
Negative	Trailer release aakunnathinu munnae 1.3k dislike ooo
not-malayalam	open for online job for
Positive	രാജു ഏട്ടൻ സുരാജ് ഏട്ടൻ  ഇൗ ക്രിസ്ത്മസ് തീയേറ്റർ പൂരപറമ്പ് ആകും.. #മാമാങ്കം #ബിഗ് ബ്രദർ #My Santa & DRIVING LICENSE  എല്ലാ സിനിമകൾക്കും ആശംസകൾ
unknown_state	Sharafudeen ahno psycho killer? Google castil sharafudeene kandu but traileril kandilalo
unknown_state	സ്ത്രീകളുടെ ഉറക്കം കെടുത്തിയ വനിത | Dr. Muthulakshmi Reddi Special | Vibes Vision
Positive	Onam പൊളിക്കും...  ഇട്ടിച്ചൻ on the ഫ്ലോർ 🥰🥰
Positive	Ikka uyir Akka Athukkum mele waiting for akka with ikkasunny
Negative	വളരെ തല്ലിപ്പൊളി  പാട്ട്. ജയചന്ദ്രൻ  കൈയിൽ  നിന്ന് itthokaye കിട്ടുകയുള്ളു.
Positive	Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.
Positive	വാൾ തലപ്പുകൾക്കും കുന്തമുനകൾക്കും മുൻപിൽ പതറാതെ... ഇടറാതെ...വീറോടെ...  ᴹᵃᵐᵃⁿᵍᵃᵐ ᴼⁿ ᴺᵒᵛ ²¹
unknown_state	തല്ല് കിട്ടിയ പിന്നെ ആണുങ്ങളെ പോലെ തല്ലി തീർക്കണം അതാ തൃശ്ശൂർത്തെ ഒരു രീതി... തൃശ്ശൂർക്കാരൻ
unknown_state	മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ എംഎം............\r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ എംഎം............\r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ.\r അവിടേയും തിരഞ്ഞു ഇവിടേയും തിരഞ്ഞു\r അവിടേയും തിരഞ്ഞു ഇവിടേയും തിരഞ്ഞു\r എവിടേയും കണ്ടില്ല്യാ ......എന്റെ മൂക്കുത്തി കണ്ടില്ല്യാ\r \r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ\r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ\r \r തങ്കക്കിനാവിന്നു തട്ടാത്തി\r ചന്തത്തിൽ തീർത്തൊരു മൂക്കുത്തി\r ചെന്താമര പൂവിൽ വീണെന്നോ\r അതോ ചെമ്മാന പൊയ്കയിൽ പോയെന്നോ\r പുടവ ഞാൻ കൊടഞ്ഞേ ഉടലാകെ തെരഞ്ഞേ\r എവിടേയും കണ്ടില്ല്യാ ......എന്റെ മൂക്കുത്തി കണ്ടില്ല്യാ\r \r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ\r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ\r \r തെയ്ക തെയ്‌തോം\r തിമന്തിക തെയ്യാക തെയ് തോം\r തിമന്തിക തെയ്യാക തെയ് തോം\r തിമന്തിക തെയ്ക തെയ്ക തോം\r തെയ്ക തോം തെയ്ക തോം\r എങ്ങു പോയി എങ്ങു പോയി\r എങ്ങോ പോയോ\r എങ്ങു പോയി എങ്ങു പോയി\r എങ്ങോ പോയോ\r എൻ തുലിമാ എൻ തെളിമാ\r അന്തിമലർ മൂക്കുത്തി\r മണിമെത്ത ചുരുളിൻ അറ വാതിൽ പടിയിൽ\r എവിടേയും കണ്ടില്ല്യാ എന്റെ മൂക്കുത്തി കണ്ടില്ല്യാ\r \r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ\r മൂക്കുത്തി മൂക്കുത്തി കണ്ടില്ല്യാ
Positive	യാഥാർത്ഥ്യങ്ങളിൽ നെയ്ത് പ്രതികാരത്തിൽ തീർത്ത വിസ്മയ ചിത്രം ആയിരിക്കും മാമാങ്കം,🤩     -മമ്മൂട്ടി
Positive	Last aa chaadiyulla adi...   Athu screenil varumbolulla kaaryam
Negative	Unda  alla Unda Pori...unda boxofficil pattakam pole pottanja mathi
Positive	Jayasuriya polich entha mone lookum mundummadakki nadathoke laalettan thottupovumallo
Mixed_feelings	ഞാൻ ലാലേട്ടൻ ഫാൻ ആണ് പക്ഷേ അത്രേ പ്രതിക്ഷ ഇല്ലേ
unknown_state	1:26 ൽ ലാലേട്ടനെ ഓർമിച്ചവർ അടി ലൈക്‌
Positive	ശോ... എന്നാ ഒരു എനർജി അന്നേ....  Ikka fans adi like
Mixed_feelings	Is it Aadai (tamil film) remake?
unknown_state	ജോജോ സൂപ്പറ്  ചെമ്പനും  സൂപ്പര് ഞാനും    ചുപ്പേര്  Da ദാമു നീ തീർണട തീർന്ന്
Positive	എല്ലാവരും  കുമ്പളങ്ങിയിൽ   സൂപ്പർ സിനിമ ...ഫ്രാങ്കി .ബോണി .ബോബി .സജി നല്ല ആക്ടിങ്
unknown_state	ഈ വേഷം ഇങ്ങനെ അല്ലാതെ എങ്ങനെ ചെയ്യാനാ?? എന്നു തോന്നിയവർക്കു....
Positive	Mmale Thrissurile jedikale film..ith pwolikum tta
Positive	ട്രോൾ  കണ്ടു  വന്നതാണ്  പാട്ട്  കിടുക്കി
unknown_state	Fan made trailer ആണെന്ന് തോന്നുന്നു ഒറിജിനൽ അല്ല
not-malayalam	Happy happy happy happy birthday ikkaaaaa...clean entertainer loading
Positive	King ikkak  68 nta youth laak swa swagtam
Mixed_feelings	Luciferum ayite kurachu samyamille ee trailerinnu
Positive	Trailer views kurava...ennalum trailor kandavar aarum thrilling akathirikkoola...
Positive	Uff. Oru rakshayumilla. 6 thavana kandu. Pwoli. Ikka mass
unknown_state	Vidaatha pidichuveykunna oru shakthi undu ee varikalil ennu thonunnavar mathram like...
Positive	പ്രായം കൂടും തോറും ഈ മനുഷന്റെ ലുക്കും കൂടും..... എന്റെ പൊന്നോ മ്യാരകം
Positive	Nalla kidukaachi feel ula song  2019 fav song
unknown_state	10 nil kooduthal trailer kandhavar like adi
Negative	Kopile song.  Lyrics etho 1st std padikuna kutty ezhuthiya pole undu. Pavam sreyagoshal
unknown_state	Aa chekkanu Jishnuvinte Chchaya  thonniyavar undo
Positive	ഈ പടത്തിറ്റിന്റ വരവിനു കാത്തിരിക്കുന്നു പൊറിഞ്ചുമറിയം ജോസ്
Mixed_feelings	Camera style kandappo chapa kurush ormavannu
Positive	ദുബായ്...ഷോപ്പിംഗ് മേളെയെ.... വെല്ലുന്ന...പ്രാചീന....കേരളത്തിൽ 12 വർഷത്തിൽ ഒരിക്കൽ മാത്രം നടന്നിരുന്ന...ഐതിഹാസിക മാമാങ്കത്തിന്റെ....പുനർ നിർമ്മിതിയുടെ...കാവ്യത്തിന്.. കട്ട...വെയ്റ്റിംഗ്.
unknown_state	Suraj Chettanum rajuvettanum padathil hero um villanum aayi maari maari vannu enn thonniyavar adik like
Positive	Ente sreya ഘോഷാലെ ഇങ്ങള് വേറെ ലെവല് തന്നേ....   ആ voice oru രക്ഷേമില്ല @shreya ghoshal #sreyagoshal
unknown_state	വെറുതെ views നോക്കാൻ വേണ്ടി വന്നതാ.
unknown_state	Darmajan fans like   ad I makkale
unknown_state	Trailor കണ്ടപ്പോൾ രാജാധി രാജ remake എന്ന് തോന്നിയത് എനിക്ക് മാത്രമാണോ?
unknown_state	ഇത് രാജുവേട്ടൻ പറഞ്ഞ പോലെ സൂപ്പർ സ്റ്റാർ ആയി മമ്മൂക്കയും ഫാൻ ആയി രാജുവേട്ടനും ആയിരുന്നെങ്കിൽ  ഒന്നാലോചിച്ചു നോകിയെ
Positive	Lucifer fdfs pokunnu lalettante White n white lookil
Positive	Onnum parayanilla. Vere leval movie ayirikkum
unknown_state	trailer review ellavarum kand nokku
Positive	മമ്മൂക്കാ ഫാൻസിന്റെ katta സപ്പോർട്ട് ഉണ്ടാവും
Positive	ഏട്ടൻ പൊളിച്ചു... luv yu ഏട്ടാ
unknown_state	Angane murukante karyathil Oru teerumanam ayii
unknown_state	Mr,ഈപ്പച്ചൻ സമുദായത്തിലെ രണ്ടു പ്രമാണിമാർ തമ്മിൽ സ്പർദ്ദ വേണ്ടന്നേ ഞാൻ കരുതിയുള്ളൂ...
Mixed_feelings	Chilappo thonnal aayirikkum.. last part okke kandappo oru SERIAL mood thonniyaayirunnu.... Chilappo thonniyathu aayirikkum
Positive	Kiddu trailer ....last momukka oduna scene pwolichu.nala ore visual treat avatay mamagam....
Positive	Dhileepettane ee padam super duper hitavatte enn aashamsikkunnu
unknown_state	പൊറിഞ്ചു പൊരിക്കും എന്നുള്ളവർക്കു തൂങ്ങാനുള്ള നൂൽ ഇവിടെ ഉണ്ടേ
unknown_state	Lalettan .  Lalettan fans ellarum like adikk. Enitt Pewdiepie kk subscribe cheyy
unknown_state	Rajuettan fans undengill like adi makkalee
unknown_state	Big budget padam aayittum...aa kuttikk oru moookkuthi vangi kodukkanjad moshayyii
Positive	Ethra thavana കണ്ടു എന്ന് ഒരു പിടിത്തവും ഇല്ല ejjaadhi
Positive	Yyeeeaahh yeeeaahhh najn oru kumbalaghi kaarii aanneee am proud of
Positive	പടം  കണ്ടതിനുശേഷം ഈ പാട്ടു കുറെ തവണയായി കേൾക്കുന്നു പക്ഷെ മതിയാക്കാൻ തോന്നുന്നില്ല വീണ്ടും കേൾക്കും ഞാൻ അതല്ലേ ഹീറോയിസം
Positive	സച്ചിയുടെ script നല്ല കഥ കിട്ടിയാൽ making കൊണ്ട് വേറെ ലെവൽ ആകുന്ന jean paulinte direction  വ്യത്യസ്ത സിനിമകൾ മാത്രം നോക്കി നിർമിക്കുന്ന രാജുവേട്ടനും ലിസ്റ്റിനും  അഭിനയിക്കാൻ പറഞ്ഞാൽ  ജീവിച്ചു കാണിക്കുന്ന രാജുവേട്ടനും സുരാജേട്ടനും  ഇത്രയും പോരെ ഈ സിനിമയ്ക്കു ticket edukan
unknown_state	കട്ട IKKA - DQ FANS ലൈക് അടി
not-malayalam	Mohan Lal depicts the best gangster i've ever seen in Hollywood or Indian movie.
not-malayalam	Bahubali : mamankam = NASA : ISRO
unknown_state	ഒര് കണ്ണാടി എടുത്ത് കാണിച്ച് കൊടുക്കടാ....അപ്പോ കാണും
Positive	Enikkithil ഇഷ്ടമായത് fatherne an....സിദ്ദിഖ് ഫാൻ
Negative	Enthu kanichalum njangade lalettante pakuthi varumo niyokke
Positive	im from mars but i love laletan
unknown_state	Padam kand kazhinj trailer um baaakki videos um veendum veendum kaaanunnavarundo
Positive	That laugh ente പൊന്നു ഇക്കാ powlichu
unknown_state	തല്ല് കിട്ടിയാ നേർക്ക് നേരെ നിന്ന് തല്ലി തീർക്കണം അത് തൃശൂർ മാത്രല്ല ഗഡിയെ കേരളത്തിലെ കിടുക്കാച്ചി ആൺപിള്ളേരെ രീതിയാ
Positive	Shane adipoliyann cheru prayathil ingane cheyyan pattunnath eluppamalla
not-malayalam	18/11/2019⃣     is anybody here
Positive	എല്ലാവരും വിദ്യാസാഗർ വിദ്യാസാഗർ... കമ്മെന്റുകളിൽ ദിലീപിന്റെ പേരിനേക്കാൾ മുഴങ്ങി കേൾക്കുന്നത് വിദ്യാസാഗറിന്റെ പേര് മാത്രം . Welcome back vidhyaji and waiting for your amazing music 🥰🥰
Positive	Mammooka ningal malayamanninu daivam anugrahichu tanna mahaa nadanamanu
Positive	ബേസിൽ നിന്നെ തല്ലും തിരിച്ചു തല്ലിയാൽ നിന്റെ കൈ ഞങ്ങ എടുക്കും.  ബേസിൽ fan.      പടം പൊളിക്കും അതുപോലെ നമ്മടെ ചെക്കൻ മിഥുൻ ജി as ബേസിൽ
Negative	എന്ത് മൂഞ്ചിയ ട്രയ്ലർ ആണെടോ...?? എട്ട് നിലയിൽ പൊട്ടിയ ഓടിയന്റെ ട്രൈലെർ ഇതിലും പ്രതീക്ഷ നൽകിയിരുന്നു.....
unknown_state	മൂക്കുത്തി അല്ല മമ്മുക്കയെ കണ്ടില്ലല്ലോ... എന്റെ കുപ്പായം കണ്ടില്ലല്ലോ എന്നു പറയാണെങ്കിൽ ഒരു കാര്യം ഉണ്ടായിരുന്നു
unknown_state	അടുത്ത 50കോടി സിനിമ ഇട്ടിമാണി എന്ന് ഉറപ്പുള്ളവർ like അടി
unknown_state	ippo erangunn Ella cinemayilum aju vargees indalloo
unknown_state	Kalkikku malayalathinte dhathuputhran alluarjun fansite vijayaashamsakal
unknown_state	Dislikes have no roles# 66k likes mathi
Positive	Ikka ingale nammude chunkane........Love You Ikkkaaa
Positive	Ikkha Mess aanu  #mamookkha  #dq
Positive	Vysakh etta padam kandu  oru raksheyum illaa  powliii Ningal marnamassalla athukkum mele aan Waiting for #Minister Raja
unknown_state	Ee trailer il devane kandavar ivide like
Positive	Popz polich.. 🤩..1:32 Saji n Vineesh.. 🤩
unknown_state	ഒരു ലിജോ പെല്ലിശ്ശേരി ടച്ച് തോന്നിയത് എനിക്ക് മാത്രമാണോ..
Positive	ഈ പടത്തിൽ പോസിറ്റീവ് അക്കെ ഇത് ആണ്
Positive	വന്നു വന്നു ഈ പാട്ട് കേൾക്കാതെ ഉറങ്ങാൻ പറ്റാത്ത അവസ്ഥയായി പോയല്ലോ പടച്ചോനെ
unknown_state	Trailer കാണാൻ വന്ന  ലാലേട്ടൻ ഫാൻസ്‌ ഒന്ന് ലൈക്ക് അടിച്ചേ
unknown_state	Mammukka ye kandathinu shesham veendum onnu aadyam thottu kandu nokki.. Athil aara mammokka enu ariyan?! 🤣
unknown_state	ഞാൻ ചെയ്തൊരു പാട്ടാണ്. വൈകിയ പ്രായത്തിൽ ഉള്ള സ്വപ്നങ്ങളുടെ തിരിച്ചു പിടിക്കലുമാണ്.നിങ്ങൾ എന്തായാലും കാണണം.പ്രോത്സാഹിപ്പിക്കണം.സ്നേഹപൂർവ്വം ശരത്.
not-malayalam	By the by  Prithviraj &suraj ??
Positive	Adich keri va makkallee ika polikkmm
unknown_state	കട്ട rajuettan ഫാൻസ്‌ ലൈക്‌ അടി
unknown_state	Pazhassi raja poloru padam pratheekshikkunnu. From unni-ikka combo
Positive	Kidu bgm. ഇപ്പഴുള്ള മലയാളം പടങ്ങളുടെ പ്രത്യകത എന്താന്നു വച്ചാൽ, പഴയ മലയാളം സിനിമയുടെ കഥയെടുത്ത് realstic ആയി പിടിക്കും.modern making. അതേ പോലെ ഇതാവാതിരുന്നാൽ മതിയായിരുന്നു.anyway best of luck
Mixed_feelings	ഈ പാട്ടിന്റെ ആദ്യ വരികളുടെ  ഈണത്തിനു VIRUS മൂവി ടച്ച്‌ തോന്നിയത് എനിക്ക് mathrano
unknown_state	Odiyan 2  Trailer
not-malayalam	All Kerala Mohanlal fans like here
not-malayalam	THIS DEAL IS WITH AN DEVIL
Positive	Prithviyude voice modulation.....oru rakshayum ilya ponne....  Kidkaachi trailer Stylish paranja itha aanu makkalle
Positive	മമ്മൂക്കായെ ഇങ്ങനെ  കാണാൻ നല്ല ചന്തമുണ്ട്
Positive	Last dance.. Athu lalettan special aanu
unknown_state	Vineet ettan super teacher e cenima polikkum e cinema average odumennuollavar like adi
Positive	Waiting verutheyalla ini ravanant varava ..... Urapicho .. adutha hit manakunundee ent ikka ijjadhi look
Negative	ഇച്ചിരി Thugs of Hindustan, ഇച്ചിരി Pirates of the Caribbean. Like കൾ ചറപറാന്ന് ഇങ് പോരും.
unknown_state	2020 ????? Undavumo ee song kelkunnavr
Mixed_feelings	എല്ലാം കൊള്ളാം... BGM ഒഴികെ.... നല്ല സദ്യ വിളമ്പിവച്ചിട്ട് ഇലയുടെ അറ്റത്ത് തീട്ടം വച്ചപോലെ ആയി....
Negative	Koora Trailer iyalkku ee pani nirthi pokkode
Positive	ഹോ അച്ചായൻ ഒരൊറ്റ സീനിൽ പോലും ഇല്ലാതെ ഇജ്ജാതി സ്‌ക്രീൻ പ്രെസെൻസ്
Positive	Adipwoliii Lalettaaa
Positive	Ithoru malayala cinema k oru vazhithirivu aakatte fanisam marannu support cheyyu
unknown_state	Bro..  ee.. Release date anna ?
not-malayalam	1.30 manoj K jayan  Mammookka walk
unknown_state	Adutha 100 kodi  avum enn urappullavar like adi
not-malayalam	We get see a new version of Nivin
Positive	ഈ അടുത്ത കാലത്തൊന്നും എന്നെ ഇത്രയധികം സ്വാധീനിച്ചനൊരു സിനിമ വേറെയുണ്ടായിട്ടില്ല... പറഞ്ഞാൽ വിശ്വസിക്കുമോ എന്നറിയില്ല അടുത്തടുത്ത മൂന്ന് ദിവസമാണ് ഞാൻ തുടർച്ചയായി കണ്ടത്.... ഇനിയുമൊരു സിനിമ കാണുവാണേൽ ഞാൻ കുമ്പളങ്ങി തന്നെ തിരഞ്ഞെടുക്കും.... അത്ര നല്ല മൂവിയാണ്
not-malayalam	Age on reverse gear enety ikka
Mixed_feelings	Korien movie no mercy pola thonunu
Positive	Entammo...polli kl8 kdavukalkku like adikaanulla nool
Positive	Sadharana dileepettante ..... New gen cinemakalude trailerukalil aanu ithra adhikam oru songinidayil chirikkan pattane... Ithipol eaatan koode polichadukkauanallo... Kooda sidhiq ikka...dharmajan... Aju.... Salimettan.... Nalla compo.... Pack..... All the best ittimaani team....
unknown_state	luciferinte ariyepadathe 26 varsham kgf mayittu cherthu our pan india padam edukannavar hit like
not-malayalam	All The Best Ikka & Mamangam Team
Positive	Kalakkan movie..... Fight & background music... Okke Vera level......
