category	text
Negative	@Vishal Shetty BOSS na nodi urkobeku aste yenu nithkolake agalla
Negative	Yar yar jasti nidde madthira nn
unknown state	ಏನು ಅಂತ ಗೊತ್ತಿಲ್ಲ
Positive	ತೊಗರಿ ತಿಪ್ಪnಜಾನಪದ ಹಾಸ್ಯ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಇದೆ ಡಾ.ಶಂಭು ಬಳಿಗಾರ ರವರಿಗೆnಧನ್ಯವಾದಗಳು
Negative	@Kiccha Vitthal ಸುದ್ವಪಿ nxt ಫಿಲಂ ರಿಲೀಸ್ ಇನ್ mars
Positive	Super osam music
Positive	Awsome movie must match movie
Positive	Super song guru
unknown state	K.s  .karthik  yash  fernd  nanbarn9916102619  devaraj
Mixed feelings	Bosssuuuuu super innu ugibeku tiktok yak ban madbeku annorge
Negative	Rashmika gube fans irbekhu
Positive	Allow illo kelid nenapu
Positive	D boss movie henge irli fans hatrikk maadtare pakka
Positive	Sir neev adthidda game yavdu
Positive	ನನಗೆ ಮಹಾಭಾರತ ಕಥೆ ಕೇಳಲು ತುಂಬಾ ಇಷ್ಟ ನಾನು ಮಹಾಭಾರತ ಓದಿದ್ದೆನೆ
Negative	Dislike madidoru rashmika mandanna fans irbodu
Positive	Super Amar prasad sir
Positive	ಕನ್ನಡ ಸಿನಿಮಾ ದ ಅವತಾರ ಶುರುವಾಯಿತು
Positive	I will watch
Positive	ಸಾಂಗ್ ಪ್ರಮೋಷನ್ ಇಲ್ದೆನೆ #1 ಟ್ರೆಂಡಿಂಗ್ ನಲ್ಲಿದೆ ಇದು ಹೇಗ್ ಸಾಧ್ಯ... ?
Negative	Diya na Rakshit shetti  na belsona
Mixed feelings	Views struck
not-Kannada	Good msg man
not-Kannada	Janapada in North karnatak
Mixed feelings	ಪ್ರಜಾಪ್ರಭುತ್ವ ಕಾನೂನಲ್ವಾ ಅದಕ್ಕೆ
Positive	ಅಲ್ಲಾಉದ್ದೀನ್ ಯಾರು ಸರ್
unknown state	ಹ್ಯಾಪಿ ನ್ಯೂ year ಇನ್ ಅಡ್ವಾನ್ಸ್ ಅಂಡ್ ಇಮ್ ವೈಟಿಂಗ್  ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸರ್
Positive	ನಮ್ಮ ದೇಶದಲ್ಲಿ ದೊಡ್ಡದಾದ ಬಂಡವಾಳಗಳನ್ನ ಹೂಡಿ ಬಿಜಿನೆಸ್ ಮಾಡಿ ಲಾಭ ಮಾಡಬೇಕುನ್ನುವವರು ಬಹಳಾ ಜನ ಇದಾರೆ ಲಾಭ ಹೆಚ್ಟಾದಷ್ಟು .ಸರ್ಕಾರ ಇನ್ಕಮ್ ಇಡಿ ಅಂತ ತೊಂದರೆಗೊಳಗಾಗುವ ಸಾಧ್ಯತೆಯಿರುತ್ತದೆಂದು ಮುಂದೆ ಬರುವುದಿಲ್ಲ
not-Kannada	I like feel better #person only you sir
Mixed feelings	Back burn rashmika
not-Kannada	Bhimsen Baburao Waghe Bhimsen Waghe
Negative	@Nandi Parthasarathi  ಮುಚ್ಚಲ್ಲೇ.... ಮರಿ  ದೊಡ್ಡಬಳ್ಳಾಪುರ ಇತಿಹಾಸ ಏನೋ ಗೋತು .ರಾಜಕಮಲ್ ಗೆ ಸಿನಿಮಾ ಹೊದ್ರೆ ಕ್ಲಿನ್ ಇಲ್ಲ ವಾಸನೆ. ಸರಿಯಾದ ಮೆಂಟೇನ್ಸ್ಸ್ ಇಲ್ಲ.  ಅವಾಗ ಕನ್ನಡ ಸಿನಿಮಾ ಹಾಕೋಡ್ರ್ಲ್ಲಿ ನಮ್ಮಗೂ ಇಷ್ಟ ಇತ್ತು. ತೆಲುಗು  ಸೈರ ನರಸಿಂಹ ರೆಡ್ಡಿ ಹಾಕಿಡೋನೋ ರಾಜಕಮಲ್ ಮರ್ಯಾದೆ ನೋ ಹೋಯಿತು
Positive	ನಯವಾದ  ಮಾತುಗಳು  ನೀವು ಚೇನ್ನಾಗಿ nಇರಬೇಕು ಸಾರ್
Positive	DOP and dance styles are lit
Negative	Avlge avra appaniginta pakkada mane uncle tumbaa esta adke bro
Positive	ದ್ರುವ ಅಣ್ಣಾ ಅಭಿಮಾನಿಗಳ ಕಡೆಯಿಂದ all the best
Positive	ನಿಜವಾಗಿಯೂ ಅಣ್ಣ HANDS OFF TO YOU.. ಧನ್ಯವಾದಗಳು...
not-Kannada	I'm waiting bro
unknown state	@Mr goodboy Swami
Positive	Super Chindiii sir sakkatagi ede
not-Kannada	@Manjunath BJP Jorapur ybsbjdis
Negative	ರೀಮೇಕ್ ಮೂವಿ....ಇರ್ಬೇಕು ತಮಿಳ್ ವಿಶಾಲ್ ದು ಅಲ್ವಾ
Negative	Worst song ever...
Positive	ನಾನು ನೋಡಿ ಸತತವಾಗಿ 30 ನಿಮಿಷ ಕಣ್ಣೀರು ಹಾಕಿದ ಸಿನಿಮಾ
Positive	Super Jai D.Boss
Negative	ಬೇಡಾ ಈ ಕಚಡ ಶೋ ಗೇ ಬರೋದು ಬೇಡಾ ಸರ್
Positive	Super trailer praju Anna
Negative	ಇನ್ನು ಟಿಕ್ ಟಾಕ್ ಮಾಡೋ ಚೂತ್ಯಾ ಸೂಳೆ ಮಕ್ಕಳಿಗೆ ಅಡ್ಡಡ್ಡಾ ಕಟ್ ಮಾಡ್ಬೇಕು
Negative	Nin yavag nodidde baggi avn potential. Muchole
unknown state	Jai Hind sir
Negative	Anna nim e vedio nodinu mathe chaina apps use madidre...nijakku avru maryade  swabhiman ildoru bharatha dalli irbardu ....antavrnella nimhange maryade thegibeku.....
Negative	@Nandi Parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿಮ್ಮ ಅವ್ವ ಬಸುರಿ
unknown state	@basavana gouda what
unknown state	E film yar yar nodiddera 🤘 like madi
Positive	ತೊಗರಿ ತಿಪ್ಪಾ ಹಾಸ್ಯ ಚಟಾಕಿ ಮಸ್ತ ಐತಿ ರಿ
Positive	ಯಾರಾದ್ರೂ ಲಿರಿಕ್ಸ್ ಓದಿದ್ರೆ ಈ ಹಾಡಿನ ಒಳಾರ್ಥ ತಿಳಿಯೋಕೆ ಎಷ್ಟು ಕಷ್ಟ ಇದೆ ಅಂತ ತಿಳಿದಿರುತ್ತೆ...ಅದು ಈ ಹಾಡಿನ twist
Negative	100 million agalla BRO
Positive	Basavaraj  Badiger
Positive	sakkath ag helde guru
unknown state	It is karabu.
not-Kannada	Kannada super song.....super boss..... hands up
unknown state	Yes yes yes🤟
Positive	ಟ್ರೈಲರ್ ನೋಡುದ್ರೆ ಕ್ಯುರ್ಯಾಸಿಟಿ ತುಂಬಾ ಇದೆ ಸಿನಿಮಾ ನೋಡಬೇಕು ಚೆನಾಗಿರುತ್ತೆ ಅಂತ ಭಾವಿಸ್ತಿನಿ ಆಲ್ ದಿ ಬೆಸ್ಟ್ ಯಶ್ ಬಾಸ್ ಫ್ಯಾನ್ಸ್ ಕಡೆಯಿಂದ
unknown state	ಹೌದು ಹುಲಿಯ
Negative	@Nandi Parthasarathi ಸುಮ್ನೆ ಸೈಡ್ ಗೇ ಹೋಗು ಗೊತ್ತಲಾ ನಾನು ವಿಶಾಲ್ ಶೆಟ್ಟಿ ಅಲ್ಲಾ... ಮಿಂಡರುಗಾಳಿ
not-Kannada	basavaraj gurikar .
Positive	Super ide trailer
unknown state	@Hithu aradhya where??
unknown state	I am looking for Hindi song...
Negative	ಹಂದಿಗಳ್ಯಾಕೆ youtube use ಮಾಡ್ತಿವೆ.....ndislike ಕೂಡ ಮಾಡ್ತಿವೆ..nnಇಂಥ ಸಾಂಗ್ dislike ಮಾಡೋರಿಗೆ ಎನ್ ಅನ್ಬೇಕು....
unknown state	Bindu  lowda smartphones laptop kelvu brand chinade agidru nav use madtha erodakke already tax kattidivi en  munde kattod beda antha heltha erodu
Positive	Sir super matadidre
Positive	Hindi nalli Madi movie oduthe plz
Positive	Dia super movie
Positive	Extradnary talent from raksit setty e movie enadru Kannada industrige hosa sandesha kodutte annoru like madi
Positive	Preethi ge praana bidovru Idara ??
not-Kannada	sudeep fan like me
Positive	Nakkan idhu idhu roast andhery
unknown state	Moorne kgf 2
Positive	Sema Padam nnFantastic making
unknown state	@ganesha m by
Positive	Ista aythu chhannagide
unknown state	Hanna neve super
Positive	Supar guru chindi
unknown state	100 times correct
not-Kannada	सर आप लोगो से निवेदन है आप छत्तीसगढ़ मध्य्प्रदेश इस तरफ़ खुद की टाकीज खरीद लीजिये जिसमे सिर्फ साउथ की डब मूवी ही चलेगी आपसे रिक्वेस्ट है आप पैसा इन्वेस्ट करके दिखे छत्तीसगढ़ दुर्ग में तरुण बिग सिनेमा खाली हो रहा है आप दुर्ग में इन्वेस्ट कर सकते है nफिर क्या आप लोग धीरे धीरे पूरे हर जिलों में 1 सिनेमा घर आप अलॉट करते जाना फिर देखना आपकी हर मूवी को हम देख सकते है और अच्छा बिजनेस भी कर सकेगी
Positive	ವಿಶ್ವಗುರು ಬಸವಣ್ಣನವರ ಆಪ್ತ ಕಾರ್ಯದರ್ಶಿಯಾಗಿದ್ದ ಶ್ರೀ ಹಡಪದ ಅಪ್ಪಣ್ಣನವರ ಇತಿಹಾಸದ ಬಗ್ಗೆ ತಿಳಿಸಿ ಸರ್
not-Kannada	Super bro...... Well video for tiktoker
Positive	Rakshit shetty superb
not-Kannada	Full movie send.
unknown state	n 0
Negative	yake andre? D booos du kurishetra filam gay asker awold barbekittu. yak kotela? so d boos fens ee filam nodilla.....
Positive	Avane Srimannarayana Trailer-BGM n          Re-Createdn
not-Kannada	@Naveen Kumar j@
Positive	ಡಿ ಬಾಸ್ ಫ್ಯಾನ್ ಕಡೆಯಿಂದ all tha best jai D Boss
Positive	Super guru pakka block buster
Negative	Ee  boli maklige deshakoskara1 app delete madakkaglilla
unknown state	@Nikistark x it's Kannada buddy
unknown state	K. BOOS.
not-Kannada	Anjali Devi I like
Positive	Elli vabba mhana kalavidan maga annodu menation agutte yakendre cinirangakke avarakoduge tunbaede yavadadaru poshaka pataragalanna kodabahudu aste
Positive	ಅದ್ಭುತವಾದ ಸಂಗೀತ ಆದ್ರೆ ಸುಮಾರಾಗಿದೆ lyrics
Positive	Yaaru e songanna ondakkinta jaasti sala kelta edeera like maadi
not-Kannada	Basavaraj Marennavar McCartney
Negative	Yako rascal stupid
not-Kannada	Nice I like it
Positive	Yaru nammamatu kelalla avarige tochiddu avaru madtare
Negative	ಎನ್ ಉಗದಿದಿಯಾ ಗುರು ಮಾತ್ ಮಾತಗು ಉಗುದಿದಿಯಾ ಈ video ನಾ ಏನಾದ್ರು tick tock star ಗಳು ಏನಾದ್ರು ನೋಡಿದ್ರೆ ನೇಣು ಹಕ್ಕೊತ್ತಾರೆ ಗುರು super🤣
Negative	Super bro e nayiigulu erodrindane nam desha uddar agilla once again super bro
not-Kannada	Super move
Negative	@Rohit Gangatkar guru ninge gotagalla sumne eru bale pans start madidare nau end madthivi e mathna thuldeepannan  pansgu helu modlu
Negative	ದೇಶಧ್ರೋಹಿಗಳು ಡಿಸ್ ಲೈಕ್ ಮಾಡಿದರೆ ನೀವು ನಿಜವಾದ ದೇಶ ದ್ರೋಹಿಗಳು ನಾಚಿಕೆ ಆಗಬೇಕು ನಿಮ್ಮ ಜನ್ಮಕ್ಕೆ.... ಇಂತಹ ಅದ್ಭುತವಾದ ವಿಡಿಯೋ ಗಳಿಗೂ ಡಿಸ್ ಲೈಕ್  ಮಾಡಿದ್ರಲ್ಲ ನಿಮಗೆ ನಾಚಿಕೆ ಆಗಲ್ವಾ.....
Positive	ಅದ್ಬುತ ಅತಿ ಅದ್ಬುತ ರಿ ಗುರುಗಳೇ
Positive	hello amar prasad tumbha chenda itthu nimma ee pryatna saakashut vishyagalannu  munde ittiri idu namege gothe iralilla. china nijakku entha samartha desha deshpreemigale tumbiruvantha desha moodalu nammale ee daridara raajakihavannu oddu military adalita barabeku ega itndu kobbiruva raajakaarnigalaga asthi pasthigalannu ondu rupeenu beedade kitthukondu avarannu beedhi bhikharimaadidare namma desha sirivanthavaaguvudaralli no doubt
Positive	Adi dia super acting🥰
Positive	100 ಕೋಟಿ ಫಾರ್ month or day haa anna
Positive	Hero.heroin very good
Positive	ಅಧ್ಬುತ ಶೆಟ್ರೆ ‌...ಮಾಯಲೋಕದ ಕಿನ್ನರನೋ
not-Kannada	Super song loved it
Positive	Super bro huge video madu Anna
Positive	guru despande olle director kate na channagi toeisutare
Negative	@TROLL MONSTER_KANNADA sak nilsu guru nim amma dagar anta oorgella gottu adunna ee tara helada
Positive	ಸರ್ ಪ್ಲೀಸ್ ರೀ ರಿಲೀಸ್ ಮಾಡಿ ಮೂವೀ ನಾ.....
Mixed feelings	26k dislikes nThese are rashmika fans
not-Kannada	अरे वाह... गजब की फील है इस गाने में..? Fan from gujarat
Positive	Hands up ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ .. Althe best ASN...simple Star ನ ಅದ್ಧೂರಿ ಅವತಾರ.. ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ..
Positive	Supper song nanna  maga feverte song
Positive	ಎಕ್ಸ್‌ಪಾ ಟೇಶನ್ ದಬಲ್ ಹೈತು
Mixed feelings	ಸರ್ bigg boss house ಗೆ ಹೋಗಿ ನೀವೇ ಗೆಲ್ತಿರಾ 🥺
Negative	Trailer nalle full story gottagbidttu...trailer bere tara try madbekittu
Positive	Actually point point nu bidsi supper aagi helidiya supppppppppeeeerrrrrbbb
unknown state	jAi D Bo'ss
Positive	Nice bro ... Nanu ella China apps delete madidini
Negative	Haha. Nin movie nodilla. 🤣🤣🤣
unknown state	Slow poison song annoru like madi
Positive	@Creative Kannadiga haa bro...nange seetara ista ...avl videos roast maadbedi plzzz
Positive	ಸರ್ ನಿಮ್ಮಂತಹ ವ್ಯಕ್ತಿತ್ವದ ಜೀವನಕ್ಕೆ ನನ್ನ ಶರಣು-ಶರಣಾರ್ಥಿಗಳು! ಆ ಸೃಷ್ಟಿಕರ್ತನ ಅನುಗ್ರಹ ಸದಾ ನಿಮಗಿರಲಿ ಎಂದು ಹಾರೈಸುವೆ
Positive	ಸಾಹಿತ್ಯ ಬಹಳ ಅದ್ಭುತವಾಗಿ ಮೂಡಿ ಬಂದಿದೆ.
unknown state	E film adru chenag odli
unknown state	mohan R gowda v
not-Kannada	Good jod broo
Mixed feelings	ಈ ಚಿತ್ರದಲ್ಲಿ ಯಾವ್ ರೇಂಜ್ ಗೆ ಗ್ರಾಫಿಕ್ಸ್ ಮಾಡಿದ್ದಾರೆ ಅಂತ ಮತ್ತೊಬ್ಬ vfx ಆರ್ಟಿಸ್ಟ್ ಗೆ ಗೊತ್ತಾಗೋದು
Negative	Yelli tanka jana moodnambke bidalvo alli tanka inta shatnayakru useless videos haktane irrtare guru.nMahabharata tumba olle moral story. Jeevanakke bekagiro tumba paata ide idralli. Adunella use madkondu olle jeevna madbeku aste. nHindu Muslim Cristian etc etc... Yella naav naav madkondirodu. Yella manushyaru onde
unknown state	Sathya na guru??
unknown state	Hands up ‍‍‍
Mixed feelings	Nim movie scene Evaga viral aagidhe anna
not-Kannada	Pls Update Hindi version
Positive	Nim maatu odhi kannalli neer bantu bro
Positive	ಕನ್ನಡ ಇವತ್ತು ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ಅಂತಾರಾಷ್ಟ್ರೀಯ ಮಟ್ಟದಲ್ಲಿ ಹೆಸರು ಮಾಡುತ್ತಿದೆ ಎಂದರೆ ಅದು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ರವರಂತವರ ಉತ್ಸುಕತೆಯಿಂದ ಮಾತ್ರ
Negative	Intha olle video nu dislike madiroru yentha kachada nanmaklirbeku🤦🤦🤦🤦
Positive	Ishta Aytu shetre
Positive	Kannad song super
Mixed feelings	@Vinay Yogeesh yar avnu
Positive	But  movie  superb
Mixed feelings	Thank you bhai..
Positive	Really superb.... Future Super star Rajinikanth
Positive	ಯಾರದಿರಿ ನಮ್ಮ ಹುಬ್ಬಳ್ಳಿ - ಧಾರವಾಡ ಮಂದಿ
Negative	Dislike madidorella bevarsi TikTokers..thika urkondavre Burnol kodrooo🤣🤣🤣🤣🤣🤣
Mixed feelings	Ivru helirodu antalla namma dharma shashtra helide. Ashwathhama chranjivi endu. Adre avru doctor manège hogidru adu doubt
Positive	super guru  D BOSS
Positive	ವಾವ್ ಅದ್ಭುತ ವಳ್ಳೆದಾಗಲಿ
Positive	ಪ್ರಜ್ವಲ್ ದೇವರಾಜ್ ಈ ಸಿನಿಮಾ ನಿನ್ನ ಜೀವನದ ಅತ್ಯದ್ಭುತ ಚಿತ್ರ ಗಳಲ್ಲಿ ಒಂದು ಆಗುತ್ತೆ ಮುಂದೆ ಒಳ್ಳೆ ಕಥೆ ಗಳೂ ಮಾಡು
unknown state	Movie release agli
not-Kannada	Shiva k k
Positive	Nange picture ka geet
unknown state	@Yashas Cp pakka
Positive	Rakshit movie success party Elli maadbekanta iddiri??
Negative	Ittheechige nodida movie DIA and love mocktail... 2 movie janake olle movie correctaagi thalupisbeku illandre heege nelakacchutthe.....  promotion maadoke social media use maadkondu janaranna thalupabeku...  innaadru industry avru yecchetthbeku
Positive	En song madidiri boss ninne inda 20 sari kelidini innu kelbeku kelbeku antha anstide
Positive	Superb song n video
Positive	Super vodis soing
not-Kannada	Nice rakshith shetty
Positive	Asn jai kannada
Mixed feelings	@Nithin Menezes yes
Positive	Film hit ahagokai e tharadha song irbaiku
Positive	ಇದು ಕನ್ನಡಿಗರ ರೋಚ್ಚಿಗೆಳಿಸುವ ಹಾಡು...
Positive	ಸೂಪರ್ ಬ್ರದರ್ ಚನಾಗಿ ಹೇಳಿದಿರ ನಂಗಂತೂ ತುಂಬಾ ಇಷ್ಟ ಆಯಿತು
Positive	ಗೆಲ್ಲಲೇಬೇಕು ಒಂದು ದಿನ nಗೆದ್ದೇ ಗೆಲ್ಲುವುದು ಒಳ್ಳೆ ಚಿತ್ರ
Negative	@Its Paramatma lo Gaandu Suvvar sumne iru...neen heldidh takshana nan opinion change agalla...
Mixed feelings	Nam indiadallu tic tok thara app kandidobodu thane
Positive	ರಣಧೀರ ಮತ್ತು ಶಂಕರನನ್ನ  ನನೆನಪು ರಕ್ಷಿತ್ ಶೆಟ್ಟಿಯಲಿ ಅವನೇ ಅವನೇ ಯಾರವನ್ ಶ್ರೀಮನ್ ನಾರಾಯಣ
not-Kannada	Ye south indian log hindi walose nafrat krte hai tu kyu itna uchal raha hai ... kisi south indian movies ke songs/trailer pe ja aur comments dekh pta chal jaega
Positive	Chinada tiktok CEO helidanante bharatadalli  iruvashtu somarigalu berellu illa anta idarta avara deshadavare aa app annu ashtu use madtilla  bharatadalli koti gattale use madtidare. Banne maadida modi sarkarakke danyavadagalu nnJai JAWAN Jai KISAN nJAI HINDH
Positive	Sir nimma voice nalli power ede
not-Kannada	Sandeep NKV super
Negative	Guru ashwattama na jote Avr Appa kuda bandidru nam urge gottilvaa nimge Krishna kuda sikkiddaa
unknown state	@KGF Adda boss
not-Kannada	Vijay praksh super voice
Negative	Tiktok madorena Chinese ge kalse beku
Positive	Tappenu illa guru nijvaglu super..  Tik tok support madovrige kelge mele guta odibeku guru..
Negative	Bai rakshith avri nan msg nodudri yargu agllilla aa thukali dagarna madvi madkolak hogbedi
Positive	Namma deshanu china thara aitu andre  badatanane erala sir..
Positive	ವಾವ್ ನೈಸ್ ಸಾಂಗ್
not-Kannada	Manjunatha  Manju
Positive	ಸಾರ್ ಅಶ್ವತ್ಥ್ ಅಪ್ಪಾಜೀ ಅಂತಹ ತಂದೆಯವರನ್ನು ಪಡೆದ ನೀವು ಧನ್ಯರು
Negative	entha song gu dislike madidare ala broo
Positive	Idu charitre srustiso  avathara...
Positive	Love you sir
not-Kannada	Song was awesome I hope Movie Too
Positive	Iddu charitre badalisuva avatara
Positive	idu charitre srustiso avathara..
Negative	Sexyyyy.. tiktok sade galige sakath tong
Negative	ಹೇ ಕಥೆ ಕತೇನೇ ಮಗ nಅಂಬೇಡ್ಕರ್ ಯಾರು ಗೋತಾ ಅದು nನೀವ್ ಹೇಳ್ತೀರಲ್ಲ ಕಲಿಯುಗ..ದೊರೆ  ದೊರೆ ನೇ ಇದು ಕರ್ನಾಟಕದಲ್ಲಿ nDPS ಕರ್ನಾಟಕ ದಲಿತ ಪ್ರಜಾ ಸೇನೆಯ ಸಾರಥಿಗಳು
Negative	Nan sigapu manithan remake.
Positive	ಸರ್ ನೀವು ಯಾಕೆ automatic ಕಾರ್ ತೊಗೋಬಾರ್ದು
Mixed feelings	@VARAPRASAD K K nimmayyi tulla hattava
Positive	sir in Mamata kotigobba
not-Kannada	Super sir
unknown state	Randhawa movie 10 rating ide
unknown state	ರಾಬರ್ಟ್ ಫಸ್ಟ್ ಲುಕ್  ನೋಡಿದ್ದೀರಾ ಲೈಕ್ ಮಾಡಿ
Positive	ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋಅವತಾರ...n...
Positive	ನಾರಾಯಣ ಸಂತ ಅವರ ಮಹಾಭಾರತದ ಪುಸ್ತಕದ ಮಾಹಿತಿ ಕಳುಹಿಸಿ
Negative	Og avn tunne unnu first
unknown state	Ccccccn  Bbb
Negative	@Nandi Parthasarathi ನಿ ಸೂಳೆ
Positive	#win 12 ನಿಮ್ಮ ಕನ್ನಡ ಪ್ರೇಮಕ್ಕೆ ಧನ್ಯವಾದ
not-Kannada	So nice bro
unknown state	Hindi song trailer no promotion release Hindi trailer in Hindi channel
Mixed feelings	ಈ ವಿಡಿಯೋ ವನ್ನು 10m views ಆದಮೇಲೇ ನೋಡುವವರು
Negative	@prithvi nayak ನಿಮ್ಮ ಅವ್ವ ಊರ್ ಹಾದರಗಿತ್ತಿ ಅಂತೇ 🤣🤣🤣🤣ಒನ್ ನೈಟ್ ಕಳ್ಸ್ಕೊಡು ನಿಂಗೆ ತಮ್ಮ ನ್ನ ಕೊಡ್ತೀನಿ... ಲೋ ಚೋದು bookmyshow alli hogi nodu ದಬಾಕ್ 3 ರೇಟಿಂಗ್ಸ್ 63% ede. ಇನ್ನು ಒನ್ ವೀಕ್ ಆಗಿಲ್ಲ ತು.. ಹೋಗಿ ಒಡೆಯ ರೇಟಿಂಗ್ಸ್ ನೋಡು 15 ಡೇಸ್ ಆದ್ರೂ 80% ಇದೇ... ನೋಡು ಬೇಕಾದ್ರೆ ಗಾಂಡು ಸುಮ್ನೆ ಯಾಕ್ ತಿಕಾ ಉರ್ಕೋತಿಯ ಲೌಡೆ... ನಿಮ್ಮ ಲುಚ್ಚಾ continues 4 ಫ್ಲಾಪ್ ಫಿಲಂ ಕೊಟ್ಟ ಯಾಪ್ಪಾ ತು ಫ್ಲಾಪ್ ಸ್ಟಾರ್ ಬಳೆಗಾರ 🤣🤣🤣🤣🤣..
Positive	I like u aadhi
Negative	Rashimika ilde iro avtara
unknown state	Leak alla adu theater run mugdidakke nAmazon prime hakidare
not-Kannada	@Manjunath BJP Jorapur yakpa
Positive	ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಸಾಂಗ್!!!nಮಧ್ಯ  ಸೇವನೆ  ಅಭ್ಯಾಸದಿಂದ ಬೇಕಾದ್ರೆ ಮುಕ್ತಿ ಪಡೆಯಬಹುದು ಆದ್ರೆ ಈ ಸಾಂಗ್ ಇಂದ ಅಲ್ಲ  ನಿಜಾ ಅನ್ನೋರು Hands Up ಮಾಡಿ
Negative	Yalla kannadigarugu ansthithu bere bashe movies maddohange yak namma kannada movies maddalla antha.. but evagaaa yak bere bashe movies nodbeku antha ansoke shuruuu agbhitidhe alva Karnataka???
Positive	Super marvlese  percent 365 day
not-Kannada	Spr bro
Positive	See #2 on trending .
Positive	Hats off bro  ಕರೆಕ್ಟಾಗಿ ಹೇಳಿದ್ದೀರ ಬ್ರೋ
Positive	ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ಬಕೆಟ್ದು ಕೆಜಿಎಫ್ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ 100 ಕೋಟಿ ಅಂತ ಪುಂಗಿಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಅಂತ ಮಾಡಿದ್ರು ಹಾಗೆ ಕನ್ನಡ ಒಂದೇ ಭಾಷೆಯಲ್ಲಿ ರಿಲೀಸ್ ಮಾಡಿದ್ರೆ ಪ್ಲಾಪ್ ಆದ್ರೆ ಹಿಟ್ ಅಂತ ಹೇಳ್ಸೋಕೆ ಆಗಲ್ಲ ಅಂತ ಪಾನ್ ಇಂಡಿಯಾ ಮಾಡಿ 250 ಕೋಟಿ ಅಂತ ಪುಂಗಿ ಬಿಟ್ರು ಆದ್ರೆ ಬಕೆಟ್ ಮೂವಿ ಬಡ್ಜೆಟ್ ಏರಿಲ್ಲ ರೆಮ್ಯುನೆರೆಷನ್ ಏರಿಲ್ಲ ಈಗ ಅದೇ ಬಕೆಟ್ ಫಾರ್ಮುಲಾ ರಕ್ಷಿತ್ ಹಿಡಿತವ್ನೆ ಆದ್ರೆ ಈ ಮಂಗ ಮುಂಡೇವು ಏನೇ ಸರ್ಕಸ್ ಮಾಡಿದ್ರು ಪುಂಗಿ ಬಿಟ್ರು ಪ್ರೊಡ್ಯುಸರ್ ಯಾವನ್ ಇವ್ರು ಹತ್ತಿರ ಬರಲ್ಲ ಬಿಡ್ರೋ ಅದೇ ಲೋ ಬಡ್ಜೆಟ್ ಪ್ರೊಡ್ಯುಸರ್ ಬರ್ಬೇಕು ಅಷ್ಟೇ
Positive	ಸೂಪರ್ ಆಗಿ ಹೇಳ್ದೆ ಗುರು
Positive	ಫಿದಾ ಆಗೆವಿ ಅಕ್ಕಾ ... ... gorgeous movie
Positive	RAKSHIT ABHIMAANIGALE!! Yaaru yaaru aa signature stepna try maadidiro illi like maadi!!
Positive	ಏನು..... ಬರಿ ಕತ್ರಿನಾನ ಮಾತ್ರ ಜೋಕಾಲಿ ಅಡಿಸಬೇಕಾ ? ನಮ್ ನಾರಾಯಣ ಯಾರಿಗೂ ಕಡಿಮೆ ಇಲ್ಲ 1
Positive	ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ಪಾರ್ಟಿ 2 ಬರುವಂತಾಗಲಿ
not-Kannada	Great work bro....nKeep it up
Positive	Kannada cinema belisi
Mixed feelings	Yes producer du number kodi phone pay madbeku.
not-Kannada	കട്ട വെയ്റ്റിങ് മലയാളം asn
Positive	Sooper maga 🤗 u r a true Indian
Positive	Iddane idu nanna nabike
unknown state	Bro nanu kichcha fan bro...
Negative	ಎನ್ ಇಡಿಟ ಮಾಡಿದಿರಾ ಗುರುವೆ
Negative	ನಿಮ್ಮ ಅವ್ವ ಸೂಳೆ
unknown state	@HITMAN gaming crt
Positive	ಸಾರ್ ನಿಮ್ಮ ತಂದೆ ನಿಮಗೆ ಕಲಿಸಿದ ಸಂಸ್ಕಾರ ಸಂಸ್ಕೃತಿ ನಮಗೆ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು ಮತ್ತು ನೀವು ಅವರು ತೋರಿಸಿದ ಮಾರ್ಗದರ್ಶನದಲ್ಲಿ ನಡೀತಾ ಇರೋದು ನಮಗೆ ತುಂಬಾ ತುಂಬಾ ಇಷ್ಟ ಆಯ್ತು ನೀವು ತಂದೆಗೆ ತಕ್ಕ ಮಗ
Negative	Kaltana maadoru...rowdism maadoro nodi kalibaeku ...
Positive	super vidio
Positive	Elru nodle bekadaa video..
Positive	Super bro ban agide valedu
Mixed feelings	BOSS VIDEO SONG MOSTER HIT
